Plant ID;Date (start);Meter;Interval;Value
CASH;01/01/2023;Utility Statement;Monthly;1616913.16667
CASH;01/02/2023;Utility Statement;Monthly;1783581.16667
CASH;01/03/2023;Utility Statement;Monthly;2117186.0
CASH;01/04/2023;Utility Statement;Monthly;2223432.0
CASH;01/05/2023;Utility Statement;Monthly;1978406.83333
CASH;01/06/2023;Utility Statement;Monthly;1212784.75
CDBO;01/01/2023;Utility Statement;Monthly;6599379.16667
CDBO;01/02/2023;Utility Statement;Monthly;2952885.16667
CDBO;01/03/2023;Utility Statement;Monthly;6580843.0
CDBO;01/04/2023;Utility Statement;Monthly;3835428.5
CDBO;01/05/2023;Utility Statement;Monthly;3844248.41667
CDBO;01/06/2023;Utility Statement;Monthly;2035669.5
CEFF;01/01/2023;Utility Statement;Monthly;2861215.5
CEFF;01/02/2023;Utility Statement;Monthly;1480264.0
CEFF;01/03/2023;Utility Statement;Monthly;2291291.25
CEFF;01/04/2023;Utility Statement;Monthly;1511362.58333
CEFF;01/05/2023;Utility Statement;Monthly;1004024.33333
CEFF;01/06/2023;Utility Statement;Monthly;688804.75
CEP1;01/01/2023;Utility Statement;Monthly;3829889.16667
CEP1;01/02/2023;Utility Statement;Monthly;2122582.33333
CEP1;01/03/2023;Utility Statement;Monthly;3487390.41667
CEP1;01/04/2023;Utility Statement;Monthly;2325278.83333
CEP1;01/05/2023;Utility Statement;Monthly;2462607.16667
CEP1;01/06/2023;Utility Statement;Monthly;1237108.41667
CEP2;01/01/2023;Utility Statement;Monthly;2234967.5
CEP2;01/02/2023;Utility Statement;Monthly;1685459.16667
CEP2;01/03/2023;Utility Statement;Monthly;2900158.33333
CEP2;01/04/2023;Utility Statement;Monthly;1814650.0
CEP2;01/05/2023;Utility Statement;Monthly;1955777.66667
CEP2;01/06/2023;Utility Statement;Monthly;986099.16667
CHAG;01/01/2023;Utility Statement;Monthly;141298.83333
CHAG;01/02/2023;Utility Statement;Monthly;301047.5
CHAG;01/03/2023;Utility Statement;Monthly;426099.08333
CHAG;01/04/2023;Utility Statement;Monthly;526936.0
CHAG;01/05/2023;Utility Statement;Monthly;625982.75
CHAG;01/06/2023;Utility Statement;Monthly;733961.25
