Plant ID;Excedance Probability;Forcast Type;January;February;March;April;May;June;July;August;September;October;November;December;Scenario;Source
LOMO;P50;Generation;3943704500.0;3858281250.0;3541503500.0;2758457500.0;2413205500.0;1986089380.0;2114224250.0;1946937120.0;2295748500.0;3032523500.0;3477436000.0;4228448500.0;Management Case;RDL 2023
LOMO;P75;Generation;3809525700.0;3727008850.0;3421009000.0;2664605000.0;2331099700.0;1918515580.0;2042290850.0;1880695420.0;2217639000.0;2929346300.0;3359121300.0;4084581700.0;Management Case;RDL 2023
LOPX;P50;Generation;3115678690.0;2967121810.0;3220450620.0;2804193000.0;2559235970.0;2017668400.0;1936204000.0;1888774660.0;2224223970.0;2795004500.0;2965203370.0;2732278380.0;Management Case;RDL 2023
LOPX;P75;Generation;2881087560.0;2743730130.0;2978028000.0;2593035260.0;2366550650.0;1865724350.0;1790376930.0;1746549010.0;2056727530.0;2584605950.0;2741972270.0;2526557830.0;Management Case;RDL 2023
LORO;P50;Generation;10509678000.0;9672624000.0;9114588000.0;6789438000.0;6975450000.0;5766372000.0;6417414000.0;5673366000.0;6045390000.0;7440480000.0;8463546000.0;10137654000.0;Management Case;RDL 2023
LORO;P75;Generation;9642629000.0;8874632000.0;8362634000.0;6229309000.0;6399975000.0;5290646000.0;5887977000.0;5205313000.0;5546645000.0;6826640000.0;7765303000.0;9301297000.0;Management Case;RDL 2023
LORO;P90;Generation;8862138000.0;8156304000.0;7685748000.0;5725098000.0;5881950000.0;4862412000.0;5411394000.0;4783986000.0;5097690000.0;6274080000.0;7136766000.0;8548434000.0;Management Case;RDL 2023
LUC2;P50;Generation;2747786000.0;3213983500.0;3025652000.0;2945379500.0;2423609000.0;2321724750.0;2479182250.0;2117956500.0;1917275380.0;2133393500.0;2744698500.0;2803359250.0;Management Case;RDL 2023
LUC2;P75;Generation;2534311160.0;2964289880.0;2790589810.0;2716553660.0;2235319390.0;2141350500.0;2286575170.0;1953412960.0;1768322710.0;1967650660.0;2531463520.0;2585566930.0;Management Case;RDL 2023
LUCO;P50;Generation;3944220500.0;3186050500.0;1892531380.0;2940079250.0;2242678500.0;2043007880.0;2422092750.0;1565534380.0;1823080620.0;1594472120.0;2422092750.0;2861947250.0;Management Case;RDL 2023
LUCO;P75;Generation;3565896870.0;2880449380.0;1711002650.0;2658071320.0;2027564190.0;1847045670.0;2189769300.0;1415370700.0;1648213500.0;1441532780.0;2189769300.0;2587433620.0;Management Case;RDL 2023
MACH;P50;Generation;1891560000.0;1781505620.0;1695525620.0;1372240750.0;1172767250.0;940621190.0;1074750000.0;988770000.0;1097104750.0;1484014750.0;1753992000.0;1943148000.0;Management Case;RDL 2023
MACH;P75;Generation;1826550000.0;1720278020.0;1637253020.0;1325078950.0;1132461050.0;908293490.0;1037812500.0;954787500.0;1059398950.0;1433011450.0;1693710000.0;1876365000.0;Management Case;RDL 2023
MAUR;P50;Generation;1734105620.0;1639271750.0;1493257620.0;1165102250.0;1040162310.0;773724190.0;894148190.0;829420310.0;961886690.0;1300579250.0;1565512000.0;1655830000.0;Management Case;RDL 2023
MAUR;P75;Generation;1661990420.0;1571100350.0;1431158420.0;1116649850.0;996905710.0;741547790.0;856963790.0;794927710.0;921885290.0;1246492850.0;1500408000.0;1586970000.0;Management Case;RDL 2023
MAZU;P50;Generation;3403895720.0;3185005870.0;3073974790.0;2391926720.0;2452200740.0;2090556650.0;2049316530.0;2039799580.0;2166692240.0;2617161200.0;3001011510.0;3251624520.0;Management Case;RDL 2023
MAZU;P75;Generation;3083336210.0;2885060160.0;2784485350.0;2166668690.0;2221266440.0;1893679930.0;1856323570.0;1847702870.0;1962645510.0;2370691870.0;2718393340.0;2945405040.0;Management Case;RDL 2023
MTAR;P50;Generation;13548343000.0;13943250000.0;16373446000.0;13092681000.0;12940794000.0;9842294000.0;9234745000.0;8794272000.0;10692862000.0;12986360000.0;16191181000.0;14247024000.0;Management Case;RDL 2023
MTAR;P75;Generation;12387809250.0;12748889020.0;14970917530.0;11971178670.0;11832302120.0;8999215670.0;8443708539.999999;8040965900.0;9776925100.0;11873964990.0;14804265120.0;13026642130.0;Management Case;RDL 2023
MTL1;P50;Generation;2498965250.0;2319078500.0;2593770250.0;2093004880.0;1813451380.0;1414783750.0;1324840500.0;1310255120.0;1558206880.0;2275322500.0;2535428750.0;2571892250.0;Management Case;RDL 2023
MTL1;P75;Generation;2408192850.0;2234840300.0;2499554150.0;2016978580.0;1747579580.0;1363393150.0;1276717000.0;1262661420.0;1501606580.0;2192673700.0;2443331850.0;2478470850.0;Management Case;RDL 2023
