Plant ID;datetime;Value;meter;date;Date (start);Meter;Interval
LORO;01/01/2023;2707402.0;LORO-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LORO;01/01/2023;3442635.5;LORO-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LORO;01/01/2023;2400162.1666666665;LORO-SS03-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LORO;01/01/2023;3290875.6666666665;LORO-SS04-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LORO;01/01/2023;3172911.6666666665;LORO-SS05-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LOPV;01/01/2023;2814081.1666666665;LOPV-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LOU2;01/01/2023;171260.83333333334;LOU2-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LOYE;01/01/2023;154879.83333333334;LOYE-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LUC2;01/01/2023;4170757.1666666665;LUC2-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LUCO;01/01/2023;3859615.1666666665;LUCO-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
LUX1;01/01/2023;194265.83333333334;LUX1-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
MACH;01/01/2023;1874286.1666666667;MACH-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
MAG1;01/01/2023;2570877.1666666665;MAG1-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
MAG3;01/01/2023;1216886.1666666667;MAG3-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
MANO;01/01/2023;265942.0;MANO-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
MAUR;01/01/2023;2178703.1666666665;MAUR-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
MAZU;01/01/2023;4060692.1666666665;MAZU-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
MDR1;01/01/2023;185463.83333333334;MDR1-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
MTL1;01/01/2023;2200591.5;MTL1-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
MOTG;01/01/2023;4230731.0;MOTG-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
MOTG;01/01/2023;735903.8333333334;MOTG-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
MODF;01/01/2023;2975684.0;MODF-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
NAC1;01/01/2023;3198157.0;NAC1-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
NAC2;01/01/2023;2293483.0;NAC2-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
NARB;01/01/2023;167929.66666666666;NARB-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
NARB;01/01/2023;214904.83333333334;NARB-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
CDBO;01/01/2023;3402711.8333333335;CDBO-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
NIED;01/01/2023;3142094.0;NIED-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
NIEV;01/01/2023;437181.5;NIEV-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
NIPL;01/01/2023;1908636.3333333333;NIPL-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
OUPI;01/01/2023;2603745.8333333335;OUPI-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PAAN;01/01/2023;3941671.5;PAAN-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PAAN;01/01/2023;4151246.3333333335;PAAN-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PEMO;01/01/2023;1989096.3333333333;PEMO-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PLES;01/01/2023;3950225.5;PLES-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PLGR;01/01/2023;3714426.0;PLGR-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PLAN;01/01/2023;3450482.3333333335;PLAN-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PLAN;01/01/2023;2660394.0;PLAN-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PLAT;01/01/2023;1392278.6666666667;PLAT-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PLEU;01/01/2023;2640027.0;PLEU-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PDCE;01/01/2023;2872364.3333333335;PDCE-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PDCE;01/01/2023;645017.3333333334;PDCE-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PDFE;01/01/2023;2545434.8333333335;PDFE-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PZIN;01/01/2023;155934.33333333334;PZIN-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PZIN;01/01/2023;130373.0;PZIN-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
POUZ;01/01/2023;1520414.8333333333;POUZ-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
PUYL;01/01/2023;449730.5;PUYL-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
RAM1;01/01/2023;3148112.8333333335;RAM1-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
RAM2;01/01/2023;1917066.0;RAM2-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
RAM2;01/01/2023;1659985.3333333333;RAM2-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
RAM2;01/01/2023;3341798.0;RAM2-SS03-P;2023-01-01;01/01/2023;Utility Statement;Monthly
RIBE;01/01/2023;2764732.5;RIBE-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
RIOL;01/01/2023;919196.5;RIOL-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
FRA1;01/01/2023;1296549.8333333333;FRA1-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
FRA2;01/01/2023;2491756.0;FRA2-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
ROUS;01/01/2023;1970567.1666666667;ROUS-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
ROUS;01/01/2023;1451613.6666666667;ROUS-SS02-P;2023-01-01;01/01/2023;Utility Statement;Monthly
STAU;01/01/2023;3008028.0;STAU-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
STPA;01/01/2023;210500.33333333334;STPA-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
SALL;01/01/2023;2379696.8333333335;SALL-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
SALZ;01/01/2023;129430.5;SALZ-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
SAMO;01/01/2023;92577.16666666667;SAMO-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
SAUV;01/01/2023;2244370.8333333335;SAUV-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
SERY;01/01/2023;2614367.5;SERY-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
SBAP;01/01/2023;4552782.0;SBAP-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
SJVX;01/01/2023;85358.33333333333;SJVX-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
STMB;01/01/2023;1171377.0;STMB-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
STME;01/01/2023;1406883.0;STME-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
STSI;01/01/2023;1427606.5;STSI-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
STUL;01/01/2023;367029.8333333333;STUL-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
STEN;01/01/2023;2484364.5;STEN-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
SUBY;01/01/2023;191788.66666666666;SUBY-SS01-P;2023-01-01;01/01/2023;Utility Statement;Monthly
