Plant ID;Date (start);Interval;Meter;Value
MACH;01/10/2022;Monthly;Gross Generation;1107509.166
TRAY;01/10/2022;Monthly;Gross Generation;941568.391
LBDF;01/11/2022;Monthly;Gross Generation;1994794.915
LDTE;01/11/2022;Monthly;Gross Generation;1612959.694
MACH;01/11/2022;Monthly;Gross Generation;1600868.769
TRAY;01/11/2022;Monthly;Gross Generation;963574.435
LBDF;01/12/2022;Monthly;Gross Generation;1833046.892
LDTE;01/12/2022;Monthly;Gross Generation;244934.068
MACH;01/12/2022;Monthly;Gross Generation;1972933.208
TRAY;01/12/2022;Monthly;Gross Generation;2092609.981
LBDF;01/01/2023;Monthly;Gross Generation;2109393.515
LDTE;01/01/2023;Monthly;Gross Generation;0.0
MACH;01/01/2023;Monthly;Gross Generation;1923263.492
TRAY;01/01/2023;Monthly;Gross Generation;1713190.561
LBDF;01/02/2023;Monthly;Gross Generation;955287.445
LDTE;01/02/2023;Monthly;Gross Generation;0.0
MACH;01/02/2023;Monthly;Gross Generation;1191194.036
TRAY;01/02/2023;Monthly;Gross Generation;1016546.787
LBDF;01/03/2023;Monthly;Gross Generation;2719675.323
LDTE;01/03/2023;Monthly;Gross Generation;0.0
MACH;01/03/2023;Monthly;Gross Generation;2221064.419
TRAY;01/03/2023;Monthly;Gross Generation;2320293.5
LBDF;01/04/2023;Monthly;Gross Generation;1335388.893
LDTE;01/04/2023;Monthly;Gross Generation;0.0
MACH;01/04/2023;Monthly;Gross Generation;1177789.003
TRAY;01/04/2023;Monthly;Gross Generation;1339023.867
LBDF;01/05/2023;Monthly;Gross Generation;1928512.964
LDTE;01/05/2023;Monthly;Gross Generation;0.0
MACH;01/05/2023;Monthly;Gross Generation;1239694.42
TRAY;01/05/2023;Monthly;Gross Generation;1411671.116
LBDF;01/06/2023;Monthly;Gross Generation;846287.623
LDTE;01/06/2023;Monthly;Gross Generation;0.0
MACH;01/06/2023;Monthly;Gross Generation;506606.005
TRAY;01/06/2023;Monthly;Gross Generation;496002.032
LBDF;01/07/2023;Monthly;Gross Generation;1184029.006
LDTE;01/07/2023;Monthly;Gross Generation;0.0
MACH;01/07/2023;Monthly;Gross Generation;907111.358
TRAY;01/07/2023;Monthly;Gross Generation;769594.393
LBDF;01/01/2022;Monthly;OEM Availability;98.40731
LDTE;01/01/2022;Monthly;OEM Availability;96.865
MACH;01/01/2022;Monthly;OEM Availability;96.49221
TRAY;01/01/2022;Monthly;OEM Availability;84.87721
PLAN;01/01/2022;Monthly;OEM Availability;99.988
LBDF;01/02/2022;Monthly;OEM Availability;99.97468
LDTE;01/02/2022;Monthly;OEM Availability;97.2482
MACH;01/02/2022;Monthly;OEM Availability;96.79554
TRAY;01/02/2022;Monthly;OEM Availability;94.86788
PLAN;01/02/2022;Monthly;OEM Availability;99.203
LBDF;01/03/2022;Monthly;OEM Availability;99.9812
