Plant ID;Meter;Date (start);Interval;Value
VARA-ECP001-METER001;Utility Statement;01/02/2023;Monthly;1682206
VARA-ECP001-METER001;Utility Statement;01/04/2023;Monthly;2212329
VARA-ECP001-METER001;Utility Statement;01/03/2023;Monthly;1691032
VARA-ECP001-METER001;Utility Statement;01/05/2023;Monthly;2415001
VARA-ECP001-METER001;Utility Statement;01/06/2023;Monthly;873217
VARA-ECP001-METER001;Utility Statement;01/08/2023;Monthly;753412
VARA-ECP001-METER001;Export;01/01/2023;Monthly;2806459
VARA-ECP001-METER001;Export;01/02/2023;Monthly;1682207
VARA-ECP001-METER001;Export;01/03/2023;Monthly;1606906
VARA-ECP001-METER001;Export;01/04/2023;Monthly;2189220
VARA-ECP001-METER001;Export;01/05/2023;Monthly;2415006
VARA-ECP001-METER001;Export;01/06/2023;Monthly;873216
VARA-ECP001-METER001;Export;01/07/2023;Monthly;844583
VARA-ECP001-METER001;Export;01/08/2023;Monthly;785765
ANPA-ECP001-METER001;Utility Statement;01/01/2023;Monthly;3539404
ANPA-ECP001-METER001;Utility Statement;01/02/2023;Monthly;1780347
ANPA-ECP001-METER001;Utility Statement;01/03/2023;Monthly;2714427
ANPA-ECP001-METER001;Utility Statement;01/04/2023;Monthly;2871548
ANPA-ECP001-METER001;Utility Statement;01/05/2023;Monthly;2967715
ANPA-ECP001-METER001;Utility Statement;01/06/2023;Monthly;1155369
ANPA-ECP001-METER001;Utility Statement;01/08/2023;Monthly;1836847
ANPA-ECP001-METER001;Export;01/01/2023;Monthly;3539400
ANPA-ECP001-METER001;Export;01/02/2023;Monthly;1780349
ANPA-ECP001-METER001;Export;01/03/2023;Monthly;2714451
ANPA-ECP001-METER001;Export;01/04/2023;Monthly;2871549
ANPA-ECP001-METER001;Export;01/05/2023;Monthly;2967719
ANPA-ECP001-METER001;Export;01/06/2023;Monthly;1155374
ANPA-ECP001-METER001;Export;01/07/2023;Monthly;2049721
ANPA-ECP001-METER001;Export;01/08/2023;Monthly;1836847
BRIA-ECP001-METER001;Utility Statement;01/01/2023;Monthly;371485
BRIA-ECP001-METER001;Utility Statement;01/02/2023;Monthly;1008402
BRIA-ECP001-METER001;Utility Statement;01/03/2023;Monthly;1241862
BRIA-ECP001-METER001;Utility Statement;01/04/2023;Monthly;1713907
BRIA-ECP001-METER001;Utility Statement;01/05/2023;Monthly;2231623
BRIA-ECP001-METER001;Utility Statement;01/06/2023;Monthly;2602379
BRIA-ECP001-METER001;Utility Statement;01/08/2023;Monthly;1995490
BRIA-ECP001-METER001;Export;01/02/2023;Monthly;1008404
BRIA-ECP001-METER001;Export;01/03/2023;Monthly;1235165
BRIA-ECP001-METER001;Export;01/04/2023;Monthly;1713904
BRIA-ECP001-METER001;Export;01/05/2023;Monthly;2231621
BRIA-ECP001-METER001;Export;01/06/2023;Monthly;2602373
BRIA-ECP001-METER001;Export;01/07/2023;Monthly;2148753
BRIA-ECP001-METER001;Export;01/08/2023;Monthly;1995488
NITR-ECP001-METER001;Utility Statement;11/01/2023;Monthly;45601
NITR-ECP001-METER001;Utility Statement;01/02/2023;Monthly;233127
NITR-ECP001-METER001;Utility Statement;01/03/2023;Monthly;344138
NITR-ECP001-METER001;Utility Statement;01/04/2023;Monthly;405185
NITR-ECP001-METER001;Utility Statement;01/05/2023;Monthly;468283
NITR-ECP001-METER001;Utility Statement;01/06/2023;Monthly;617596
NITR-ECP001-METER001;Utility Statement;01/08/2023;Monthly;510290
NITR-ECP001-METER001;Export;01/01/2023;Monthly;45600
NITR-ECP001-METER001;Export;01/02/2023;Monthly;233121
NITR-ECP001-METER001;Export;01/03/2023;Monthly;345254
NITR-ECP001-METER001;Export;01/04/2023;Monthly;405178
NITR-ECP001-METER001;Export;01/05/2023;Monthly;468282
NITR-ECP001-METER001;Export;01/06/2023;Monthly;617594
NITR-ECP001-METER001;Export;01/07/2023;Monthly;494277
NITR-ECP001-METER001;Export;01/08/2023;Monthly;510283
COLB-ECP001-METER001;Utility Statement;01/03/2023;Monthly;475291
COLB-ECP001-METER001;Utility Statement;01/04/2023;Monthly;570895
COLB-ECP001-METER001;Utility Statement;01/05/2023;Monthly;718301
COLB-ECP001-METER001;Utility Statement;01/06/2023;Monthly;840488
COLB-ECP001-METER001;Export;01/01/2023;Monthly;103151
COLB-ECP001-METER001;Export;01/02/2023;Monthly;371634
COLB-ECP001-METER001;Export;01/03/2023;Monthly;475290
COLB-ECP001-METER001;Export;01/04/2023;Monthly;570896
COLB-ECP001-METER001;Export;01/05/2023;Monthly;718304
COLB-ECP001-METER001;Export;01/06/2023;Monthly;840488
COLB-ECP001-METER001;Export;01/07/2023;Monthly;739548
COLB-ECP001-METER001;Export;01/08/2023;Monthly;705442
CHPI-ECP001-METER001;Export;01/01/2023;Monthly;20397785
CHPI-ECP001-METER001;Export;01/02/2023;Monthly;12919320
CHPI-ECP001-METER001;Export;01/03/2023;Monthly;20192296
CHPI-ECP001-METER001;Export;01/04/2023;Monthly;12508206
CHPI-ECP001-METER001;Export;01/05/2023;Monthly;13496735
CHPI-ECP001-METER001;Export;01/06/2023;Monthly;7852069
CHPI-ECP001-METER001;Export;01/07/2023;Monthly;10802492
CHPI-ECP001-METER001;Export;01/08/2023;Monthly;7267532
JAVI-ECP001-METER001;Export;01/01/2023;Monthly;2306581
JAVI-ECP001-METER001;Export;01/02/2023;Monthly;2122021
JAVI-ECP001-METER001;Export;01/03/2023;Monthly;2310894
JAVI-ECP001-METER001;Export;01/04/2023;Monthly;3129770
JAVI-ECP001-METER001;Export;01/05/2023;Monthly;2898956
JAVI-ECP001-METER001;Export;01/06/2023;Monthly;1200098
JAVI-ECP001-METER001;Export;01/07/2023;Monthly;1720114
JAVI-ECP001-METER001;Export;01/08/2023;Monthly;1373912
