Date (start);Interval;Meter;Value;Plant ID
01/05/2023;Monthly;Availability;94.71782;JAVI-ECP001-METER001
01/05/2023;Monthly;Availability;91.92061;JONC-ECP001-METER001
01/05/2023;Monthly;Availability;98.53054;ROUS-ECP0001-METER001
01/05/2023;Monthly;Availability;99.82223;VARA-ECP001-METER001
01/06/2023;Monthly;Availability;93.10961;ANPA-ECP001-METER001
01/06/2023;Monthly;Availability;98.25424;BVER-ECP001-METER001
01/06/2023;Monthly;Availability;95.93355;CHPI-ECP001-METER001
01/06/2023;Monthly;Availability;98.75488;FIEN-ECP001-METER001
01/06/2023;Monthly;Availability;98.12899;JAVI-ECP001-METER001
01/06/2023;Monthly;Availability;90.39871;JONC-ECP001-METER001
01/06/2023;Monthly;Availability;97.04862;ROUS-ECP0001-METER001
01/06/2023;Monthly;Availability;99.67098;VARA-ECP001-METER001
01/07/2023;Monthly;Availability;99.92131;ANPA-ECP001-METER001
01/07/2023;Monthly;Availability;99.27567;BVER-ECP001-METER001
01/07/2023;Monthly;Availability;98.96729;CHPI-ECP001-METER001
01/07/2023;Monthly;Availability;99.54064;FIEN-ECP001-METER001
01/07/2023;Monthly;Availability;97.30018;JAVI-ECP001-METER001
01/07/2023;Monthly;Availability;100.0;JONC-ECP001-METER001
01/07/2023;Monthly;Availability;98.43418;ROUS-ECP0001-METER001
01/07/2023;Monthly;Availability;99.14412;VARA-ECP001-METER001
01/01/2022;Monthly;Consumption;1800.696;BVER-ECP001-METER001
01/01/2022;Monthly;Consumption;-160622.793;CHPI-ECP001-METER001
01/01/2022;Monthly;Consumption;3.166;FIEN-ECP001-METER001
01/01/2022;Monthly;Consumption;-15312.184;JAVI-ECP001-METER001
01/01/2022;Monthly;Consumption;-2150.516;JONC-ECP001-METER001
01/01/2022;Monthly;Consumption;603.294;ROUS-ECP0001-METER001
01/01/2022;Monthly;Consumption;0.0;VARA-ECP001-METER001
01/02/2022;Monthly;Consumption;493.823;BVER-ECP001-METER001
01/02/2022;Monthly;Consumption;-10555.84;CHPI-ECP001-METER001
01/02/2022;Monthly;Consumption;25.501;FIEN-ECP001-METER001
01/02/2022;Monthly;Consumption;-7760.384;JAVI-ECP001-METER001
01/02/2022;Monthly;Consumption;0.0;JONC-ECP001-METER001
01/02/2022;Monthly;Consumption;345.158;ROUS-ECP0001-METER001
01/02/2022;Monthly;Consumption;-2574.9;VARA-ECP001-METER001
01/03/2022;Monthly;Consumption;652.473;BVER-ECP001-METER001
01/03/2022;Monthly;Consumption;-94123.94;CHPI-ECP001-METER001
01/03/2022;Monthly;Consumption;242.165;FIEN-ECP001-METER001
01/03/2022;Monthly;Consumption;2534.568;JAVI-ECP001-METER001
01/03/2022;Monthly;Consumption;0.0;JONC-ECP001-METER001
01/03/2022;Monthly;Consumption;1418.946;ROUS-ECP0001-METER001
01/03/2022;Monthly;Consumption;-2171.792;VARA-ECP001-METER001
01/04/2022;Monthly;Consumption;414.371;BVER-ECP001-METER001
01/04/2022;Monthly;Consumption;-19933.485;CHPI-ECP001-METER001
01/04/2022;Monthly;Consumption;9.166;FIEN-ECP001-METER001
01/04/2022;Monthly;Consumption;445.386;JAVI-ECP001-METER001
01/04/2022;Monthly;Consumption;2979.47;JONC-ECP001-METER001
01/04/2022;Monthly;Consumption;2008.377;ROUS-ECP0001-METER001
01/04/2022;Monthly;Consumption;56944.443;VARA-ECP001-METER001
01/05/2022;Monthly;Consumption;834.408;BVER-ECP001-METER001
01/05/2022;Monthly;Consumption;-40606.94;CHPI-ECP001-METER001
01/05/2022;Monthly;Consumption;87.166;FIEN-ECP001-METER001
01/05/2022;Monthly;Consumption;7439.844;JAVI-ECP001-METER001
01/05/2022;Monthly;Consumption;585.443;JONC-ECP001-METER001
01/05/2022;Monthly;Consumption;2774.361;ROUS-ECP0001-METER001
01/05/2022;Monthly;Consumption;65437.878;VARA-ECP001-METER001
01/06/2022;Monthly;Consumption;2950.765;BVER-ECP001-METER001
01/06/2022;Monthly;Consumption;-132734.851;CHPI-ECP001-METER001
01/06/2022;Monthly;Consumption;3.5;FIEN-ECP001-METER001
01/06/2022;Monthly;Consumption;6790.303;JAVI-ECP001-METER001
